agent_id,step,n_episodes,survival_rate,wipe_rate,corner_rate,avg_duration,avg_reward
4,280000,5000,0.9718,0.0002,0.0,98.07,9.5222
4,285000,5000,0.9752,0.0,0.0,98.81,9.6307
4,290000,5000,0.9708,0.0,0.0,98.31,9.5365
4,295000,5000,0.9784,0.0,0.0,98.49,9.6357
4,300000,5000,0.9646,0.0002,0.0,97.47,9.3891
5,5000,5000,0.194,0.0144,0.0,1.55,-7.9856
5,10000,5000,0.27,0.0192,0.0,2.12,-7.161
5,15000,5000,0.42,0.0134,0.0,4.41,-5.4168
5,20000,5000,0.633,0.012,0.0,11.23,-2.5841
5,25000,5000,0.7866,0.0066,0.0,31.99,1.0434
5,30000,5000,0.8602,0.0054,0.0,52.94,3.8817
5,35000,5000,0.8782,0.0026,0.0,68.84,5.8469
5,40000,5000,0.9518,0.0014,0.0,83.92,7.9051
5,45000,5000,0.9546,0.0002,0.0,94.8,9.0213
5,50000,5000,0.97,0.0004,0.0,95.78,9.2754
5,55000,5000,0.9578,0.001,0.0,90.05,8.5786
5,60000,5000,0.9618,0.0006,0.0,96.94,9.3084
5,65000,5000,0.9764,0.0004,0.0,97.8,9.6194
5,70000,5000,0.966,0.0004,0.0,95.54,9.2108
5,75000,5000,0.9632,0.0004,0.0,95.43,9.1718
5,80000,5000,0.9604,0.0008,0.0,94.55,9.0548
5,85000,5000,0.961,0.0002,0.0,92.77,8.8826
5,90000,5000,0.9718,0.0002,0.0,97.31,9.4463
5,95000,5000,0.9528,0.0004,0.0,91.01,8.6243
5,100000,5000,0.9782,0.0002,0.0,97.58,9.5499
5,105000,5000,0.9574,0.001,0.0,94.95,9.0864
5,110000,5000,0.967,0.0006,0.0,95.9,9.2562
5,115000,5000,0.9746,0.0002,0.0,95.93,9.4797
5,120000,5000,0.9712,0.0,0.0,97.53,9.4622
5,125000,5000,0.9672,0.0004,0.0,97.49,9.4177
5,130000,5000,0.966,0.0,0.0,97.08,9.3646
5,135000,5000,0.9742,0.0002,0.0,97.57,9.4961
5,140000,5000,0.9712,0.0,0.0,96.78,9.387
5,145000,5000,0.9618,0.0006,0.0,94.0,9.0137
5,150000,5000,0.9698,0.0002,0.0,95.19,9.2599
5,155000,5000,0.9544,0.0016,0.0,90.0,8.5397
5,160000,5000,0.9532,0.0008,0.0,94.64,8.9914
5,165000,5000,0.9616,0.0004,0.0,95.51,9.1632
5,170000,5000,0.9638,0.001,0.0,93.3,8.9648
5,175000,5000,0.9662,0.0006,0.0,95.36,9.3316
5,180000,5000,0.9652,0.0,0.0,96.09,9.2573
5,185000,5000,0.9752,0.0004,0.0,96.56,9.4059
5,190000,5000,0.9572,0.0008,0.0,94.89,9.057
5,195000,5000,0.9626,0.0,0.0,97.46,9.383
5,200000,5000,0.946,0.0002,0.0,93.24,8.7811
5,205000,5000,0.964,0.0,0.0,93.82,9.0188
5,210000,5000,0.958,0.0004,0.0,95.22,9.0975
5,215000,5000,0.9774,0.0002,0.0,98.08,9.58
5,220000,5000,0.97,0.0,0.0,97.36,9.4328
5,225000,5000,0.961,0.0002,0.0,94.06,9.0703
5,230000,5000,0.9656,0.0004,0.0,96.09,9.3723
5,235000,5000,0.9564,0.0004,0.0,94.73,9.033
5,240000,5000,0.9628,0.0004,0.0,94.08,9.0481
5,245000,5000,0.9568,0.0004,0.0,95.58,9.1215
5,250000,5000,0.9764,0.0008,0.0,94.23,9.185
5,255000,5000,0.9774,0.0002,0.0,99.34,9.7057
5,260000,5000,0.9632,0.0008,0.0,93.1,8.9383
5,265000,5000,0.9614,0.0006,0.0,94.41,9.0513
5,270000,5000,0.9568,0.0004,0.0,96.75,9.2383
5,275000,5000,0.9468,0.0004,0.0,94.71,8.9333
5,280000,5000,0.9682,0.0002,0.0,96.78,9.3568
5,285000,5000,0.9538,0.0002,0.0,93.84,8.9169
5,290000,5000,0.955,0.0006,0.0,94.31,8.9769
5,295000,5000,0.9504,0.0008,0.0,90.46,8.5447
5,300000,5000,0.9456,0.0008,0.0,90.31,8.4815
6,5000,5000,0.2036,0.0126,0.0,1.63,-7.8805
6,10000,5000,0.296,0.0122,0.0,2.34,-6.8763
6,15000,5000,0.4502,0.0136,0.0,4.9,-5.0634
6,20000,5000,0.6244,0.0078,0.0,12.87,-2.5067
6,25000,5000,0.8158,0.0042,0.0,41.38,2.2774
6,30000,5000,0.917,0.0018,0.0,70.38,6.2001
6,35000,5000,0.9112,0.0028,0.0,71.1,6.2127
6,40000,5000,0.9612,0.0004,0.0,90.75,8.8744
6,45000,5000,0.9538,0.0002,0.0,92.04,8.7369
6,50000,5000,0.9678,0.001,0.0,89.03,8.5777
6,55000,5000,0.9636,0.0,0.0,91.86,8.818
6,60000,5000,0.9438,0.0006,0.0,89.89,8.4212
6,65000,5000,0.9476,0.0008,0.0,87.8,8.2507
6,70000,5000,0.9536,0.0012,0.0,85.48,8.0853
6,75000,5000,0.9594,0.0002,0.0,92.93,8.9855
6,80000,5000,0.9472,0.0,0.0,92.46,8.8961
6,85000,5000,0.951,0.0002,0.0,89.91,8.4961
6,90000,5000,0.9536,0.0004,0.0,93.7,8.9211
6,95000,5000,0.9592,0.0004,0.0,91.87,8.7751
6,100000,5000,0.97,0.0,0.0,95.74,9.271
6,105000,5000,0.96,0.0004,0.0,96.11,9.4092
6,110000,5000,0.9576,0.0004,0.0,92.22,8.7941
6,115000,5000,0.9688,0.0,0.0,95.6,9.2452
6,120000,5000,0.9628,0.0004,0.0,96.95,9.482
6,125000,5000,0.9524,0.0012,0.0,92.53,8.7721
6,130000,5000,0.9762,0.0002,0.0,97.38,9.4975
6,135000,5000,0.9634,0.0006,0.0,96.17,9.2474
6,140000,5000,0.955,0.0006,0.0,95.95,9.1436
6,145000,5000,0.9656,0.0004,0.0,96.74,9.3267
6,150000,5000,0.9668,0.0004,0.0,94.29,9.2089
6,155000,5000,0.9656,0.0,0.0,97.41,9.425
6,160000,5000,0.9754,0.0006,0.0,96.8,9.4319
6,165000,5000,0.9686,0.0002,0.0,98.11,9.4935
6,170000,5000,0.9634,0.0002,0.0,95.38,9.4359
6,175000,5000,0.9694,0.0002,0.0,97.55,9.4455
6,180000,5000,0.9664,0.0,0.0,96.12,9.3384
6,185000,5000,0.9742,0.0002,0.0,98.23,9.6376
6,190000,5000,0.962,0.0004,0.0,96.6,9.2763
6,195000,5000,0.9568,0.0,0.0,93.22,9.0769
6,200000,5000,0.974,0.0,0.0,98.84,9.6215
6,205000,5000,0.9724,0.0,0.0,98.56,9.5773
6,210000,5000,0.9786,0.0002,0.0,96.71,9.4988
6,215000,5000,0.9662,0.0002,0.0,97.02,9.3603
6,220000,5000,0.9632,0.0,0.0,94.79,9.1561
6,225000,5000,0.9574,0.0002,0.0,95.83,9.1525
6,230000,5000,0.9674,0.0002,0.0,96.25,9.2953
6,235000,5000,0.97,0.0,0.0,98.01,9.506
6,240000,5000,0.968,0.0002,0.0,97.62,9.4383
6,245000,5000,0.975,0.0,0.0,97.71,9.5186
6,250000,5000,0.9592,0.0,0.0,94.7,9.0583
6,255000,5000,0.9668,0.0,0.0,97.34,9.4711
6,260000,5000,0.9712,0.0004,0.0,97.34,9.4432
6,265000,5000,0.9728,0.0,0.0,96.51,9.3853
6,270000,5000,0.9676,0.0,0.0,97.81,9.4541
6,275000,5000,0.9704,0.0,0.0,97.0,9.4014
6,280000,5000,0.9744,0.0,0.0,98.58,9.6576
6,285000,5000,0.9684,0.0004,0.0,97.95,9.4757
6,290000,5000,0.9812,0.0,0.0,99.21,9.8243
6,295000,5000,0.9634,0.0002,0.0,97.38,9.3679
6,300000,5000,0.9716,0.0008,0.0,96.05,9.3182
7,5000,5000,0.1828,0.012,0.0,1.53,-8.1008
7,10000,5000,0.2396,0.0088,0.0,1.96,-7.4838
7,15000,5000,0.3846,0.011,0.0,3.98,-5.8181
7,20000,5000,0.5752,0.0076,0.0,12.6,-3.03
7,25000,5000,0.7684,0.0076,0.0,32.21,0.882
7,30000,5000,0.8496,0.0036,0.0,54.34,3.9149
7,35000,5000,0.925,0.0014,0.0,76.47,6.8896
7,40000,5000,0.9514,0.001,0.0,87.3,8.2396
7,45000,5000,0.9568,0.0008,0.0,89.22,8.4857
7,50000,5000,0.9662,0.0002,0.0,88.73,8.5316
7,55000,5000,0.9562,0.0002,0.0,90.34,8.7367
7,60000,5000,0.9656,0.0,0.0,95.49,9.2029
7,65000,5000,0.9686,0.0002,0.0,94.11,9.0941
7,70000,5000,0.958,0.0004,0.0,93.54,8.9509
7,75000,5000,0.953,0.0002,0.0,94.3,8.9552
7,80000,5000,0.9702,0.0006,0.0,91.36,8.8348
7,85000,5000,0.9554,0.0002,0.0,93.52,8.902
7,90000,5000,0.9668,0.0,0.0,95.26,9.1908
7,95000,5000,0.962,0.0,0.0,95.43,9.1588
7,100000,5000,0.9698,0.0002,0.0,96.44,9.3393
7,105000,5000,0.9676,0.0,0.0,95.11,9.1837
7,110000,5000,0.9598,0.0002,0.0,96.83,9.2774
